phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
"after","https://kujo.robertdevore.com/","scripts/prepare.kujo","home","200","200","true","default index/follow","https://kujo.robertdevore.com/","200","Learn Kujo: write, run, prove · Kujo Course","43","A practical Kujo programming course: 40 lessons, six stage builds, and a replay-backed AI operations capstone.","110","Write it. Run it. Prove it.","h1:Write it. Run it. Prove it.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","451","en","","","Robert DeVore (footer)","false","Course","156","57","2","0","0","2","0","0","0","false","true","false","false","061dfb30f066ceb1645fe12ad7828fab38f1305095e7d5dd421e5d6800ec4de7",""
"after","https://kujo.robertdevore.com/course/","scripts/prepare.kujo","curriculum","200","200","true","default index/follow","https://kujo.robertdevore.com/course/","200","The course map · Kujo Course","28","40 lessons across six stages, from Kujo foundations to reliable AI-native systems.","82","The course map.","h1:The course map.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","418","en","","","Robert DeVore (footer)","true","CollectionPage|BreadcrumbList","100","56","2","0","0","2","0","0","1","false","true","false","false","5b7008635efd6d8a73348b1e546375dfd3ed42b0d0611d019f40e46b07875ad2",""
"after","https://kujo.robertdevore.com/course/what-is-kujo/","lessons/what-is-kujo.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/what-is-kujo/","200","What Kujo is · Kujo Course","26","Start with a goal, an executable program, and evidence.","55","What Kujo is","h1:What Kujo is|h2:Where you are|h2:Why this exists|h2:Mental model|h2:Language and runtime contract|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","944","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","59","4","0","0","2","0","0","1","false","true","false","false","7c4558060cdd8365f97a2a16a8d88f240d56bdf3bc9c384444621bb211c6116a",""
"after","https://kujo.robertdevore.com/course/setup-and-cli/","lessons/setup-and-cli.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/setup-and-cli/","200","Installation, CLI, and your first program · Kujo Course","55","Pin the release, choose the VM, and learn the command boundaries.","65","Installation, CLI, and your first program","h1:Installation, CLI, and your first program|h2:Where you are|h2:Install and identify|h2:Runtime contract|h2:Read diagnostics as feedback|h2:Editor setup|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","928","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","5","0","0","2","0","0","1","false","true","false","false","85522c43247929a666c36377b57408b386e1dea4db756ba8ae51a68ee21e1843",""
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","lessons/bindings-and-mutability.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/bindings-and-mutability/","200","Bindings, values, and mutability · Kujo Course","46","Use let, mut, and const according to Kujo’s actual rules.","57","Bindings, values, and mutability","h1:Bindings, values, and mutability|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","983","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","6d606b7701fddde1ddad31a84a70bef135c98320e15405dffd2c653c527dab80",""
"after","https://kujo.robertdevore.com/course/values-and-truthiness/","lessons/values-and-truthiness.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/values-and-truthiness/","200","Values, operators, and truthiness · Kujo Course","47","Predict boolean results, checked arithmetic, and equality.","58","Values, operators, and truthiness","h1:Values, operators, and truthiness|h2:Mental model|h2:Truthiness contract|h2:Numeric contract|h2:Professional pattern|h2:Runtime drill|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","876","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","3995eebf4fc4d903b056aee4fbeee3ca2231ef3aadf160c0fe81c19c9625834c",""
"after","https://kujo.robertdevore.com/course/control-flow/","lessons/control-flow.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/control-flow/","200","Control flow and block scopes · Kujo Course","43","Make decisions, terminate loops, and keep iteration state local.","64","Control flow and block scopes","h1:Control flow and block scopes|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","973","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","51bab5581ecc16acc8d98439b082ea4fcd22fdfdfe01c21b64a5219c70a39ae1",""
"after","https://kujo.robertdevore.com/course/functions/","lessons/functions.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/functions/","200","Functions, callbacks, and return values · Kujo Course","53","Extract decisions into small functions with explicit results.","61","Functions, callbacks, and return values","h1:Functions, callbacks, and return values|h2:Mental model|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","883","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","726c55b3ad7e6a458dbc6095dd7b0b740ea97ee10436959b40224f478261316b",""
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","lessons/collections-and-pipelines.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/collections-and-pipelines/","200","Collections, pipes, and null handling · Kujo Course","51","Transform structured data without hiding missing-value errors.","62","Collections, pipes, and null handling","h1:Collections, pipes, and null handling|h2:Language contract|h2:Pipes and fallback|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","954","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","e0b638d1b3da462bc1057299a47bf4f8edf79a59bc954dc84d6d85bfb8edee78",""
"after","https://kujo.robertdevore.com/course/scope-and-capture/","lessons/scope-and-capture.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/scope-and-capture/","200","Scope, shadowing, and capture · Kujo Course","43","Locate state by lexical binding, then test capture assumptions.","63","Scope, shadowing, and capture","h1:Scope, shadowing, and capture|h2:Where you are|h2:Language contract|h2:Read the example|h2:VM drill|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Release boundary drill","963","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","24f6c87d16faa765afb0cade762e619b76738b74d43d858423ee54791ce2a27f",""
