phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
"baseline","https://kujo.robertdevore.com/","scripts/prepare.kujo","home","200","200","true","default index/follow","https://kujo.robertdevore.com/","200","Clarity. Context. Control.","26","A practical Kujo programming course: 40 lessons, six stage builds, and a replay-backed AI operations capstone.","110","Write it. Run it. Prove it.","h1:Write it. Run it. Prove it.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","432","en","","","Robert DeVore (footer)","false","Course","156","57","2","0","0","2","0","0","0","false","true","false","false","6380f615d30001d7afe520b93e712f39132ae79d76b5aa36a5a114f3709ccccf",""
"baseline","https://kujo.robertdevore.com/course/","scripts/prepare.kujo","curriculum","200","200","true","default index/follow","https://kujo.robertdevore.com/course/","200","The course map · Kujo Course","28","40 lessons across six stages, from Kujo foundations to reliable AI-native systems.","82","The course map.","h1:The course map.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","400","en","","","Robert DeVore (footer)","true","CollectionPage|BreadcrumbList","100","56","2","0","0","2","0","0","1","false","true","false","false","dc650b2873f6f28db330ec210652f2e051aa77f1db3cba8763ebf577ea3e13a1",""
"baseline","https://kujo.robertdevore.com/course/what-is-kujo/","lessons/what-is-kujo.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/what-is-kujo/","200","What Kujo is · Kujo Course","26","Start with a goal, an executable program, and evidence.","55","What Kujo is","h1:What Kujo is|h2:Where you are|h2:Why this exists|h2:Mental model|h2:Language and runtime contract|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","923","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","59","4","0","0","2","0","0","1","false","true","false","false","ce758d37178bbdad6de052112892d53fdfbea0cf421139016c88c5de5172197c",""
"baseline","https://kujo.robertdevore.com/course/setup-and-cli/","lessons/setup-and-cli.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/setup-and-cli/","200","Installation, CLI, and your first program · Kujo Course","55","Pin the release, choose the VM, and learn the command boundaries.","65","Installation, CLI, and your first program","h1:Installation, CLI, and your first program|h2:Where you are|h2:Install and identify|h2:Runtime contract|h2:Read diagnostics as feedback|h2:Editor setup|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","917","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","5","0","0","2","0","0","1","false","true","false","false","bc5dedc49609704068f1b0dc69ce51c9a823c809bdb1603e97c09f87dc32820f",""
"baseline","https://kujo.robertdevore.com/course/bindings-and-mutability/","lessons/bindings-and-mutability.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/bindings-and-mutability/","200","Bindings, values, and mutability · Kujo Course","46","Use let, mut, and const according to Kujo’s actual rules.","57","Bindings, values, and mutability","h1:Bindings, values, and mutability|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","967","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","1f34cba106a55a8038b1669690f111635fec423a5140957594439e27410b403c",""
"baseline","https://kujo.robertdevore.com/course/values-and-truthiness/","lessons/values-and-truthiness.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/values-and-truthiness/","200","Values, operators, and truthiness · Kujo Course","47","Predict boolean results, checked arithmetic, and equality.","58","Values, operators, and truthiness","h1:Values, operators, and truthiness|h2:Mental model|h2:Truthiness contract|h2:Numeric contract|h2:Professional pattern|h2:Runtime drill|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:UTF-8 size and predicate results in 1.4.0","944","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","510f433dacc9001f88b2ccaaf072466f714f886a1e5c7a622c966a571f9fdcc0",""
"baseline","https://kujo.robertdevore.com/course/control-flow/","lessons/control-flow.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/control-flow/","200","Control flow and block scopes · Kujo Course","43","Make decisions, terminate loops, and keep iteration state local.","64","Control flow and block scopes","h1:Control flow and block scopes|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","946","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","da953470b01b1f1b67cb9123afddc75cab1a06911d47bf1b6268a6bfa844e770",""
"baseline","https://kujo.robertdevore.com/course/functions/","lessons/functions.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/functions/","200","Functions, callbacks, and return values · Kujo Course","53","Extract decisions into small functions with explicit results.","61","Functions, callbacks, and return values","h1:Functions, callbacks, and return values|h2:Mental model|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","873","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","7e470c959f20a0638399f27d19e152e54e0a18cf60e0108706ff0659dbaace0c",""
"baseline","https://kujo.robertdevore.com/course/collections-and-pipelines/","lessons/collections-and-pipelines.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/collections-and-pipelines/","200","Collections, pipes, and null handling · Kujo Course","51","Transform structured data without hiding missing-value errors.","62","Collections, pipes, and null handling","h1:Collections, pipes, and null handling|h2:Language contract|h2:Pipes and fallback|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","939","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","ace138dc5a820c667e60c8474db139809b84f463fadfdafb5edfb4e4cbf575a7",""
"baseline","https://kujo.robertdevore.com/course/scope-and-capture/","lessons/scope-and-capture.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/scope-and-capture/","200","Scope, shadowing, and capture · Kujo Course","43","Locate state by lexical binding, then test capture assumptions.","63","Scope, shadowing, and capture","h1:Scope, shadowing, and capture|h2:Where you are|h2:Language contract|h2:Read the example|h2:VM drill|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Release boundary drill","961","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","131bbbf6f181ed8d5819fba5a26d0e39a30e6fbb2f0c60a695f571661366acf3",""
"baseline","https://kujo.robertdevore.com/course/structs-and-enums/","lessons/structs-and-enums.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/structs-and-enums/","200","Structs and enums · Kujo Course","31","Model domain records and states before adding behavior.","55","Structs and enums","h1:Structs and enums|h2:Why this exists|h2:Runtime contract|h2:Serialization boundary|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","922","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","9e3e6d1f5f7a41d1c75bc7f8bc4ed67203029b2f99a2216320e2984891c7fcb3",""
"baseline","https://kujo.robertdevore.com/course/match-result-option/","lessons/match-result-option.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/match-result-option/","200","Match, Result, and Option · Kujo Course","39","Give expected failure and absence their own states.","51","Match, Result, and Option","h1:Match, Result, and Option|h2:Mental model|h2:Language contract|h2:Choosing the right model|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","927","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","6368a71ad26f51bcd6d6c19410ea92a23c840fd8ea4d4b635252d7130921f64a",""
"baseline","https://kujo.robertdevore.com/course/exceptions/","lessons/exceptions.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/exceptions/","200","Exceptions and recoverable errors · Kujo Course","47","Catch failures at the boundary that can make a decision.","56","Exceptions and recoverable errors","h1:Exceptions and recoverable errors|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","866","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","64bd6cf6b39b764ec5878fc508a5c8aa06864d7cc52c435e3b3e2c00dd35134f",""
"baseline","https://kujo.robertdevore.com/course/optional-typing/","lessons/optional-typing.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/optional-typing/","200","Optional typing without imaginary guarantees · Kujo Course","58","Use annotations while respecting dynamic VM execution.","54","Optional typing without imaginary guarantees","h1:Optional typing without imaginary guarantees|h2:Today|h2:Mental model|h2:On the horizon|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","884","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","5503261daba4012c37867852508898d9f33fa0bee8333d8d4c1acdb7da08b746",""
"baseline","https://kujo.robertdevore.com/course/async-and-await/","lessons/async-and-await.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/async-and-await/","200","Async functions and await · Kujo Course","39","Own pending work and inspect its completion.","44","Async functions and await","h1:Async functions and await|h2:Why this exists|h2:Runtime contract|h2:Lifecycle|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","840","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","0c0083ec577aefc440fce4ffb9957849e2aeae69ea56fba9bd897bc7a15a049a",""
"baseline","https://kujo.robertdevore.com/course/bounded-concurrency/","lessons/bounded-concurrency.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/bounded-concurrency/","200","Spawn and bounded concurrent work · Kujo Course","47","Choose owned results over timing assumptions.","45","Spawn and bounded concurrent work","h1:Spawn and bounded concurrent work|h2:Today|h2:A bounded pattern|h2:Spawn drill|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:A deliberately limited spawn probe","949","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","67a0b3c2d9f3d4c5a2757b0f368625672d519f9d744dbdfab62d78c6dea90317",""
"baseline","https://kujo.robertdevore.com/course/modules/","lessons/modules.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/modules/","200","Modules and explicit exports · Kujo Course","42","Separate reusable code from entrypoint effects.","47","Modules and explicit exports","h1:Modules and explicit exports|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Installed-tool imports and callbacks in 1.4.0","1017","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","19cec229af40504803c4059363dd4c228449aa7f747d0ecebf42527f83b90e7b",""
"baseline","https://kujo.robertdevore.com/course/projects-and-lockfiles/","lessons/projects-and-lockfiles.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/projects-and-lockfiles/","200","Projects, packages, and lockfiles · Kujo Course","47","Reproduce a manifest without inventing a public registry.","57","Projects, packages, and lockfiles","h1:Projects, packages, and lockfiles|h2:Mental model|h2:Stable tool contract|h2:Run the package drill|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Kennel is a separate distribution system","933","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","6","0","0","2","0","0","1","false","true","false","false","2203de637a20c5ff9f6d7187fd587ff2c00554443cb64ed3d650091e0fb208a4",""
"baseline","https://kujo.robertdevore.com/course/standard-library/","lessons/standard-library.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/standard-library/","200","Finding the standard library contract · Kujo Course","51","Look up arity, result shape, failure, and authority before calling.","67","Finding the standard library contract","h1:Finding the standard library contract|h2:Why this exists|h2:Read the inventory|h2:Four questions|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Bounded data APIs added in 1.4.0","964","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","5","0","0","2","0","0","1","false","true","false","false","c9e39efe69f9a04551a7d658a532be94d1fce2767f885d72097ac8e8a1b5c4a1",""
"baseline","https://kujo.robertdevore.com/course/testing/","lessons/testing.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/testing/","200","Testing, fixtures, and runtime evidence · Kujo Course","53","Make failures intentional and success independently checkable.","62","Testing, fixtures, and runtime evidence","h1:Testing, fixtures, and runtime evidence|h2:Tool contract|h2:Reproducible tests|h2:Negative tests|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Framework import context","897","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","0cb7349805edceac17237502fb1ebe218e68db46734281dc3d34aadc6ee9c205",""
"baseline","https://kujo.robertdevore.com/course/machine-contracts/","lessons/machine-contracts.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/machine-contracts/","200","Diagnostics and machine-readable interfaces · Kujo Course","57","Serve humans and agents from one explicit result contract.","58","Diagnostics and machine-readable interfaces","h1:Diagnostics and machine-readable interfaces|h2:Why this exists|h2:Stable tool contract|h2:Application contract|h2:Professional pattern|h2:Evidence drill|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","846","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","406d19e0c9a379612d5d98203efb65f6e6989df27ef15465e06dcbdb9e2058ce",""
"baseline","https://kujo.robertdevore.com/course/documentation/","lessons/documentation.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/documentation/","200","Documentation as a build artifact · Kujo Course","47","Generate API evidence and write the decisions extraction cannot infer.","70","Documentation as a build artifact","h1:Documentation as a build artifact|h2:Why this exists|h2:Tool contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","867","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","9d1931c9d175d453c9d7547ef8b631bf07bd31dfd9e578d2eddd9d45faca1a73",""
"baseline","https://kujo.robertdevore.com/course/editor-and-lsp/","lessons/editor-and-lsp.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/editor-and-lsp/","200","Editor integration and the LSP boundary · Kujo Course","53","Keep tooling connected to the same language contract.","53","Editor integration and the LSP boundary","h1:Editor integration and the LSP boundary|h2:Mental model|h2:Stable tool contract|h2:A reproducible editor workflow|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","889","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","61","4","0","0","2","0","0","1","false","true","false","false","6ade1c9290a1fb8e30e764b4b4e133cee05260a4212f2b27f42f9d0cedfeb7ca",""
"baseline","https://kujo.robertdevore.com/course/filesystem/","lessons/filesystem.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/filesystem/","200","Filesystem automation with bounded paths · Kujo Course","54","Read intended inputs and make writes deliberate.","48","Filesystem automation with bounded paths","h1:Filesystem automation with bounded paths|h2:What can this code touch?|h2:Native contract|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Confined publication in 1.4.0","1007","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","4","0","0","2","0","0","1","false","true","false","false","725930fe77b580abd547943b7c95be59e4ed589e17bab5efada5cca39ecda641",""
"baseline","https://kujo.robertdevore.com/course/processes/","lessons/processes.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/processes/","200","Processes without unnecessary shells · Kujo Course","50","Use argv, bounded output, and an explicit result receipt.","57","Processes without unnecessary shells","h1:Processes without unnecessary shells|h2:What can this code touch?|h2:Native contract|h2:Machine receipt|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Process replacement and POSIX tooling","952","en","","","Robert DeVore (footer)","true","LearningResource|BreadcrumbList","45","60","5","0","0","2","0","0","1","false","true","false","false","5c27bc269c1a171933681715e889662e50bf01c410bc4c17c6347d3507907153",""
