phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action,topic,audience,intent,evidence,original_value,freshness,action,limitations
"","https://kujo.robertdevore.com/","","","","","","","","","","","","","","","","","","Kujo Course","Experienced software developers","Navigate or apply Kujo Course","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/","","","","","","","","","","","","","","","","","","Curriculum","Experienced software developers","Navigate or apply Curriculum","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/what-is-kujo/","","","","","","","","","","","","","","","","","","What Kujo is","Experienced software developers","Learn and implement What Kujo is","examples/01.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/setup-and-cli/","","","","","","","","","","","","","","","","","","Installation, CLI, and your first program","Experienced software developers","Learn and implement Installation, CLI, and your first program","examples/02.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","","","","","","","","","","","","","","","","Bindings, values, and mutability","Experienced software developers","Learn and implement Bindings, values, and mutability","examples/03.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/values-and-truthiness/","","","","","","","","","","","","","","","","","","Values, operators, and truthiness","Experienced software developers","Learn and implement Values, operators, and truthiness","examples/04.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/control-flow/","","","","","","","","","","","","","","","","","","Control flow and block scopes","Experienced software developers","Learn and implement Control flow and block scopes","examples/05.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/functions/","","","","","","","","","","","","","","","","","","Functions, callbacks, and return values","Experienced software developers","Learn and implement Functions, callbacks, and return values","examples/06.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","","","","","","","","","","","","","","","","Collections, pipes, and null handling","Experienced software developers","Learn and implement Collections, pipes, and null handling","examples/07.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/scope-and-capture/","","","","","","","","","","","","","","","","","","Scope, shadowing, and capture","Experienced software developers","Learn and implement Scope, shadowing, and capture","examples/08.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
