phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
"baseline","https://kujo.robertdevore.com/","scripts/prepare.kujo","home","200","200","true","default index/follow","https://kujo.robertdevore.com/","200","Learn Kujo: write, run, prove · Kujo Course","43","A practical Kujo programming course: 40 lessons, six stage builds, and a replay-backed AI operations capstone.","110","Write it. Run it. Prove it.","h1:Write it. Run it. Prove it.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","453","en","","","Robert DeVore (footer)","false","LearningResource","105","57","2","0","0","0","0","0","0","false","true","false","false","2a24d632f4c01fb78f2fa0ae40f13741eae5a53446a599e37430c0b9cd400595",""
"baseline","https://kujo.robertdevore.com/course/","scripts/prepare.kujo","curriculum","200","200","true","default index/follow","https://kujo.robertdevore.com/course/","200","The course map · Kujo Course","28","40 lessons across six stages, from Kujo foundations to reliable AI-native systems.","82","The course map.","h1:The course map.|h2:Your learning path|h2:Kujo foundations|h2:Language semantics|h2:Projects and tooling|h2:Native automation|h2:AI-native programming|h2:Agentic systems|h2:Local-first AI operations runner.","415","en","","","Robert DeVore (footer)","false","LearningResource","100","55","2","0","0","0","0","0","1","false","true","false","false","ef1cbbedd328760f546cfb1a50454b193d8ae82299de5f0465c7fcb58e2d49b8",""
"baseline","https://kujo.robertdevore.com/course/what-is-kujo/","lessons/01.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/what-is-kujo/","200","What Kujo is · Kujo Course","26","Start with a goal, an executable program, and evidence.","55","What Kujo is","h1:What Kujo is|h2:Where you are|h2:Why this exists|h2:Mental model|h2:Language and runtime contract|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","931","en","","","Robert DeVore (footer)","false","LearningResource","45","58","3","0","0","0","0","0","1","false","true","false","false","272c201868589215923295638f478bae2a7e1f1dcf7880a53aafd639bd943028",""
"baseline","https://kujo.robertdevore.com/course/setup-and-cli/","lessons/02.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/setup-and-cli/","200","Installation, CLI, and your first program · Kujo Course","55","Pin the release, choose the VM, and learn the command boundaries.","65","Installation, CLI, and your first program","h1:Installation, CLI, and your first program|h2:Where you are|h2:Install and identify|h2:Runtime contract|h2:Read diagnostics as feedback|h2:Editor setup|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","912","en","","","Robert DeVore (footer)","false","LearningResource","45","59","4","0","0","0","0","0","1","false","true","false","false","4a032b4119350ef40d141d39fcc9892eb1a640de5edf65ceefb0ed7650d72d6f",""
"baseline","https://kujo.robertdevore.com/course/bindings-and-mutability/","lessons/03.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/bindings-and-mutability/","200","Bindings, values, and mutability · Kujo Course","46","Use let, mut, and const according to Kujo’s actual rules.","57","Bindings, values, and mutability","h1:Bindings, values, and mutability|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","969","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","32df2f8f7e52e4b02eacf02ebd03e606855998cf862ba5ded94d3430d8c57311",""
"baseline","https://kujo.robertdevore.com/course/values-and-truthiness/","lessons/04.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/values-and-truthiness/","200","Values, operators, and truthiness · Kujo Course","47","Predict boolean results, checked arithmetic, and equality.","58","Values, operators, and truthiness","h1:Values, operators, and truthiness|h2:Mental model|h2:Truthiness contract|h2:Numeric contract|h2:Professional pattern|h2:Runtime drill|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","862","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","e350b0bf0df1e6b3cba328b0c8d64a73c87a910d2dea5b0520ca909a53d52915",""
"baseline","https://kujo.robertdevore.com/course/control-flow/","lessons/05.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/control-flow/","200","Control flow and block scopes · Kujo Course","43","Make decisions, terminate loops, and keep iteration state local.","64","Control flow and block scopes","h1:Control flow and block scopes|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","958","en","","","Robert DeVore (footer)","false","LearningResource","45","60","3","0","0","0","0","0","1","false","true","false","false","c3a348b40cd42eee68874324f9a94b93e117dc6a14883196991048a6966c7c19",""
"baseline","https://kujo.robertdevore.com/course/functions/","lessons/06.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/functions/","200","Functions, callbacks, and return values · Kujo Course","53","Extract decisions into small functions with explicit results.","61","Functions, callbacks, and return values","h1:Functions, callbacks, and return values|h2:Mental model|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","868","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","e58d6bfa12e2510609e8442e080f6c9ec5b4a8067fcb7c8046670a668b39325e",""
"baseline","https://kujo.robertdevore.com/course/collections-and-pipelines/","lessons/07.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/collections-and-pipelines/","200","Collections, pipes, and null handling · Kujo Course","51","Transform structured data without hiding missing-value errors.","62","Collections, pipes, and null handling","h1:Collections, pipes, and null handling|h2:Language contract|h2:Pipes and fallback|h2:Professional pattern|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Builtin names and declaration scope","939","en","","","Robert DeVore (footer)","false","LearningResource","45","60","3","0","0","0","0","0","1","false","true","false","false","70f391f6e76835c340a4315f71cc5cf3772258814d84cfb1aeee97e759751667",""
"baseline","https://kujo.robertdevore.com/course/scope-and-capture/","lessons/08.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/scope-and-capture/","200","Scope, shadowing, and capture · Kujo Course","43","Locate state by lexical binding, then test capture assumptions.","63","Scope, shadowing, and capture","h1:Scope, shadowing, and capture|h2:Where you are|h2:Language contract|h2:Read the example|h2:VM drill|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Release boundary drill","949","en","","","Robert DeVore (footer)","false","LearningResource","45","60","3","0","0","0","0","0","1","false","true","false","false","a20068e67e0cdff7b92ced0cfc524c729f5a6c8048ff347c48b27d518047fb4c",""
"baseline","https://kujo.robertdevore.com/course/structs-and-enums/","lessons/09.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/structs-and-enums/","200","Structs and enums · Kujo Course","31","Model domain records and states before adding behavior.","55","Structs and enums","h1:Structs and enums|h2:Why this exists|h2:Runtime contract|h2:Serialization boundary|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","926","en","","","Robert DeVore (footer)","false","LearningResource","45","60","3","0","0","0","0","0","1","false","true","false","false","01de77c33310cdaa2f26c2e42ae90d8e64f7510353216e2356fbcb9d94cf5109",""
"baseline","https://kujo.robertdevore.com/course/match-result-option/","lessons/10.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/match-result-option/","200","Match, Result, and Option · Kujo Course","39","Give expected failure and absence their own states.","51","Match, Result, and Option","h1:Match, Result, and Option|h2:Mental model|h2:Language contract|h2:Choosing the right model|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint|h2:Contract versus release behavior","924","en","","","Robert DeVore (footer)","false","LearningResource","45","60","3","0","0","0","0","0","1","false","true","false","false","a02147869edfab9115896629c6873c075d9a240e6cd2bbeacde69db8ecd12641",""
"baseline","https://kujo.robertdevore.com/course/exceptions/","lessons/11.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/exceptions/","200","Exceptions and recoverable errors · Kujo Course","47","Catch failures at the boundary that can make a decision.","56","Exceptions and recoverable errors","h1:Exceptions and recoverable errors|h2:Why this exists|h2:Language contract|h2:Read the example|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","863","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","5934fa710e90235a8bb1274c1bc5c753a38598d931788131dad16def19332bc6",""
"baseline","https://kujo.robertdevore.com/course/optional-typing/","lessons/12.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/optional-typing/","200","Optional typing without imaginary guarantees · Kujo Course","58","Use annotations while respecting dynamic VM execution.","54","Optional typing without imaginary guarantees","h1:Optional typing without imaginary guarantees|h2:Today|h2:Mental model|h2:On the horizon|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","880","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","84e8754bd4384cbedfaeb8c90cb6957616ae1865421b875d87e77519b607ae19",""
"baseline","https://kujo.robertdevore.com/course/async-and-await/","lessons/13.md","lesson","200","200","true","default index/follow","https://kujo.robertdevore.com/course/async-and-await/","200","Async functions and await · Kujo Course","39","Own pending work and inspect its completion.","44","Async functions and await","h1:Async functions and await|h2:Why this exists|h2:Runtime contract|h2:Lifecycle|h2:Professional pattern|h2:Common mistakes|h2:Working example|h2:Run it|h3:Captured output|h2:Break it and diagnose it|h2:Exercise|h2:Checkpoint","846","en","","","Robert DeVore (footer)","false","LearningResource","45","59","3","0","0","0","0","0","1","false","true","false","false","87c6c900c4474150bb2ae1759ee35feb7d9f407ff57f4eef2ee2b97c941ea9a3",""
