phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action,topic_entity,intent,primary_theme,secondary_theme,related_questions,competing_url,gap,action
"","https://kujo.robertdevore.com/","","","","","","","","","","","Kujo Course","navigation/application","Kujo Kujo Course","Learn Kujo with executable evidence","What can I learn or build with Kujo?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/","","","","","","","","","","","Curriculum","navigation/application","Kujo Curriculum","40 lessons across six stages","What can I learn or build with Kujo?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/what-is-kujo/","","","","","","","","","","","What Kujo is","technical learning","Kujo What Kujo is","Start with a goal, an executable program, and evidence.","How does What Kujo is behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/setup-and-cli/","","","","","","","","","","","Installation, CLI, and your first program","technical learning","Kujo Installation, CLI, and your first program","Pin the release, choose the VM, and learn the command boundaries.","How does Installation, CLI, and your first program behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","","","","","","","","","Bindings, values, and mutability","technical learning","Kujo Bindings, values, and mutability","Use let, mut, and const according to Kujo’s actual rules.","How does Bindings, values, and mutability behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/values-and-truthiness/","","","","","","","","","","","Values, operators, and truthiness","technical learning","Kujo Values, operators, and truthiness","Predict boolean results, checked arithmetic, and equality.","How does Values, operators, and truthiness behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/control-flow/","","","","","","","","","","","Control flow and block scopes","technical learning","Kujo Control flow and block scopes","Make decisions, terminate loops, and keep iteration state local.","How does Control flow and block scopes behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/functions/","","","","","","","","","","","Functions, callbacks, and return values","technical learning","Kujo Functions, callbacks, and return values","Extract decisions into small functions with explicit results.","How does Functions, callbacks, and return values behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","","","","","","","","","Collections, pipes, and null handling","technical learning","Kujo Collections, pipes, and null handling","Transform structured data without hiding missing-value errors.","How does Collections, pipes, and null handling behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/scope-and-capture/","","","","","","","","","","","Scope, shadowing, and capture","technical learning","Kujo Scope, shadowing, and capture","Locate state by lexical binding, then test capture assumptions.","How does Scope, shadowing, and capture behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/structs-and-enums/","","","","","","","","","","","Structs and enums","technical learning","Kujo Structs and enums","Model domain records and states before adding behavior.","How does Structs and enums behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/match-result-option/","","","","","","","","","","","Match, Result, and Option","technical learning","Kujo Match, Result, and Option","Give expected failure and absence their own states.","How does Match, Result, and Option behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/exceptions/","","","","","","","","","","","Exceptions and recoverable errors","technical learning","Kujo Exceptions and recoverable errors","Catch failures at the boundary that can make a decision.","How does Exceptions and recoverable errors behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/optional-typing/","","","","","","","","","","","Optional typing without imaginary guarantees","technical learning","Kujo Optional typing without imaginary guarantees","Use annotations while respecting dynamic VM execution.","How does Optional typing without imaginary guarantees behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/async-and-await/","","","","","","","","","","","Async functions and await","technical learning","Kujo Async functions and await","Own pending work and inspect its completion.","How does Async functions and await behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/bounded-concurrency/","","","","","","","","","","","Spawn and bounded concurrent work","technical learning","Kujo Spawn and bounded concurrent work","Choose owned results over timing assumptions.","How does Spawn and bounded concurrent work behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/modules/","","","","","","","","","","","Modules and explicit exports","technical learning","Kujo Modules and explicit exports","Separate reusable code from entrypoint effects.","How does Modules and explicit exports behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","","","","","","","","","Projects, packages, and lockfiles","technical learning","Kujo Projects, packages, and lockfiles","Reproduce a manifest without inventing a public registry.","How does Projects, packages, and lockfiles behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/standard-library/","","","","","","","","","","","Finding the standard library contract","technical learning","Kujo Finding the standard library contract","Look up arity, result shape, failure, and authority before calling.","How does Finding the standard library contract behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/testing/","","","","","","","","","","","Testing, fixtures, and runtime evidence","technical learning","Kujo Testing, fixtures, and runtime evidence","Make failures intentional and success independently checkable.","How does Testing, fixtures, and runtime evidence behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
"","https://kujo.robertdevore.com/course/machine-contracts/","","","","","","","","","","","Diagnostics and machine-readable interfaces","technical learning","Kujo Diagnostics and machine-readable interfaces","Serve humans and agents from one explicit result contract.","How does Diagnostics and machine-readable interfaces behave in the Kujo VM?","","No measured query data; preserve distinct lesson scope","Measure branded and topic-level impressions after ingestion"
