phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,duplicate_title,duplicate_description,issues,description,h1
"after","https://kujo.robertdevore.com/","","","Learn Kujo: write, run, prove · Kujo Course","","","","","","","","","","","","","","false","false","","A practical Kujo programming course: 40 lessons, six stage builds, and a replay-backed AI operations capstone.","Write it. Run it. Prove it."
"after","https://kujo.robertdevore.com/course/","","","The course map · Kujo Course","","","","","","","","","","","","","","false","false","","40 lessons across six stages, from Kujo foundations to reliable AI-native systems.","The course map."
"after","https://kujo.robertdevore.com/course/what-is-kujo/","","","What Kujo is · Kujo Course","","","","","","","","","","","","","","false","false","","Start with a goal, an executable program, and evidence.","What Kujo is"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","","","Installation, CLI, and your first program · Kujo Course","","","","","","","","","","","","","","false","false","","Pin the release, choose the VM, and learn the command boundaries.","Installation, CLI, and your first program"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","Bindings, values, and mutability · Kujo Course","","","","","","","","","","","","","","false","false","","Use let, mut, and const according to Kujo’s actual rules.","Bindings, values, and mutability"
"after","https://kujo.robertdevore.com/course/values-and-truthiness/","","","Values, operators, and truthiness · Kujo Course","","","","","","","","","","","","","","false","false","","Predict boolean results, checked arithmetic, and equality.","Values, operators, and truthiness"
"after","https://kujo.robertdevore.com/course/control-flow/","","","Control flow and block scopes · Kujo Course","","","","","","","","","","","","","","false","false","","Make decisions, terminate loops, and keep iteration state local.","Control flow and block scopes"
"after","https://kujo.robertdevore.com/course/functions/","","","Functions, callbacks, and return values · Kujo Course","","","","","","","","","","","","","","false","false","","Extract decisions into small functions with explicit results.","Functions, callbacks, and return values"
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","Collections, pipes, and null handling · Kujo Course","","","","","","","","","","","","","","false","false","","Transform structured data without hiding missing-value errors.","Collections, pipes, and null handling"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","","","Scope, shadowing, and capture · Kujo Course","","","","","","","","","","","","","","false","false","","Locate state by lexical binding, then test capture assumptions.","Scope, shadowing, and capture"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","","","Structs and enums · Kujo Course","","","","","","","","","","","","","","false","false","","Model domain records and states before adding behavior.","Structs and enums"
"after","https://kujo.robertdevore.com/course/match-result-option/","","","Match, Result, and Option · Kujo Course","","","","","","","","","","","","","","false","false","","Give expected failure and absence their own states.","Match, Result, and Option"
"after","https://kujo.robertdevore.com/course/exceptions/","","","Exceptions and recoverable errors · Kujo Course","","","","","","","","","","","","","","false","false","","Catch failures at the boundary that can make a decision.","Exceptions and recoverable errors"
"after","https://kujo.robertdevore.com/course/optional-typing/","","","Optional typing without imaginary guarantees · Kujo Course","","","","","","","","","","","","","","false","false","","Use annotations while respecting dynamic VM execution.","Optional typing without imaginary guarantees"
"after","https://kujo.robertdevore.com/course/async-and-await/","","","Async functions and await · Kujo Course","","","","","","","","","","","","","","false","false","","Own pending work and inspect its completion.","Async functions and await"
"after","https://kujo.robertdevore.com/course/bounded-concurrency/","","","Spawn and bounded concurrent work · Kujo Course","","","","","","","","","","","","","","false","false","","Choose owned results over timing assumptions.","Spawn and bounded concurrent work"
"after","https://kujo.robertdevore.com/course/modules/","","","Modules and explicit exports · Kujo Course","","","","","","","","","","","","","","false","false","","Separate reusable code from entrypoint effects.","Modules and explicit exports"
"after","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","Projects, packages, and lockfiles · Kujo Course","","","","","","","","","","","","","","false","false","","Reproduce a manifest without inventing a public registry.","Projects, packages, and lockfiles"
"after","https://kujo.robertdevore.com/course/standard-library/","","","Finding the standard library contract · Kujo Course","","","","","","","","","","","","","","false","false","","Look up arity, result shape, failure, and authority before calling.","Finding the standard library contract"
"after","https://kujo.robertdevore.com/course/testing/","","","Testing, fixtures, and runtime evidence · Kujo Course","","","","","","","","","","","","","","false","false","","Make failures intentional and success independently checkable.","Testing, fixtures, and runtime evidence"
"after","https://kujo.robertdevore.com/course/machine-contracts/","","","Diagnostics and machine-readable interfaces · Kujo Course","","","","","","","","","","","","","","false","false","","Serve humans and agents from one explicit result contract.","Diagnostics and machine-readable interfaces"
"after","https://kujo.robertdevore.com/course/documentation/","","","Documentation as a build artifact · Kujo Course","","","","","","","","","","","","","","false","false","","Generate API evidence and write the decisions extraction cannot infer.","Documentation as a build artifact"
